Constructor,Race 1,Race 2,Race 3,Race 4,AVG
ALB,12,12.6,12.8,13,12.6
ALO,8.8,8.2,7.6,7,7.9
ANT,18.4,19,19.3,19.6,19.1
BEA,6.7,6.1,6.7,7.3,6.7
BOR,6,5.4,4.8,4.5,5.2
DOO,7.2,6.6,6,5.4,6.3
GAS,11.8,11.2,10.6,10,10.9
HAD,6.2,5.6,5,4.5,5.3
HAM,24.2,23.9,23.6,23.3,23.8
HUL,6.4,7,7.6,7.8,7.2
LAW_RED,18,17.4,,,17.7
LAW_VRB,,,8.4,7.8,8.1
LEC,25.9,25.6,25.3,25,25.5
NOR,29,29.3,29.6,29.9,29.5
OCO,7.3,7.5,8.1,8.7,7.9
PIA,23,22.7,23,23.1,23.0
RUS,21,21.1,21.4,21.7,21.3
SAI,13.1,12.5,11.9,11.3,12.2
STR,8.1,8.7,9.3,9.9,9.0
TSU_RED,,,16.8,16.6,16.7
TSU_VRB,9.6,9,,,9.3
VER,28.4,28.5,28.6,28.7,28.6
