Driver,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6
ALB,12,12.6,12.8,13,12.8,12.6
ALO,8.8,8.2,7.6,7,6.4,6.2
ANT,18.4,19,19.3,19.6,19.7,19.6
BEA,6.7,6.1,6.7,7.3,7.9,8.5
BOR,6,5.4,4.8,4.5,4.5,4.5
DOO,7.2,6.6,6,5.4,5.6,5
GAS,11.8,11.2,10.6,10,9.4,8.8
HAD,6.2,5.6,5,4.5,5.1,5.7
HAM,24.2,23.9,23.6,23.3,23.2,23.3
HUL,6.4,7,7.6,7.8,7.2,6.6
LAW_RED,18,17.4
LAW_VRB, , ,8.4,7.8,7.2,6.6
LEC,25.9,25.6,25.3,25,24.7,24.6
NOR,29,29.3,29.6,29.9,30,30.1
OCO,7.3,7.5,8.1,8.7,9.3,9.1
PIA,23,22.7,23,23.1,23.4,23.7
RUS,21,21.1,21.4,21.7,22,22.1
SAI,13.1,12.5,11.9,11.3,10.7,10.1
STR,8.1,8.7,9.3,9.9,9.7,9.1
TSU_RED, , ,16.8,16.6,16.4,15.8
TSU_VRB,9.6,9
VER,28.4,28.5,28.6,28.7,28.8,28.9
